"A.  POPULATION AND ANNUAL GROWTH RATE FOR THE PHILIPPINES AND ITS REGIONS, PROVINCES, AND HIGHLY URBANIZED CITIES",,,,,,,,,,,,,,,,,,,,,
"BASED ON THE 2000, 2010, 2015, AND 2020 CENSUSES",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"REGION, PROVINCE, AND HIGHLY URBANIZED CITY",,TOTAL POPULATION,,,,,,,,"POPULATION GROWTH RATE
(in percent)",,,,,,,,,,,
,,1-May-00,,1-May-10,,1-Aug-15,,1-May-20,,2000-2010,"2010-
2015","2015-
2020","2010-
2020",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,,"2,299,229",,"2,744,671",,"2,963,360",,"3,228,558",,1.79,1.47,1.82,1.64,,,,,,,,
MARINDUQUE,,"217,392",,"227,828",,"234,521",,"239,207",,0.47,0.55,0.42,0.49,,,,,,,,
OCCIDENTAL MINDORO,,"380,250",,"452,971",,"487,414",,"525,354",,1.76,1.40,1.59,1.49,,,,,,,,
ORIENTAL MINDORO,,"681,818",,"785,602",,"844,059",,"908,339",,1.43,1.38,1.56,1.46,,,,,,,,
PALAWAN *,,"593,500",,"771,667",,"849,469",,"939,594",,2.66,1.84,2.14,1.99,,,,,,,,
CITY OF PUERTO PRINCESA,,"161,912",,"222,673",,"255,116",,"307,079",,3.24,2.62,3.98,3.26,,,,,,,,
ROMBLON,,"264,357",,"283,930",,"292,781",,"308,985",,0.72,0.59,1.14,0.85,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
REGION V (BICOL REGION),,"4,686,669",,"5,420,411",,"5,796,989",,"6,082,165",,1.46,1.29,1.02,1.16,,,,,,,,
ALBAY,,"1,090,907",,"1,233,432",,"1,314,826",,"1,374,768",,1.23,1.22,0.94,1.09,,,,,,,,
CAMARINES NORTE,,"470,654",,"542,915",,"583,313",,"629,699",,1.44,1.38,1.62,1.49,,,,,,,,
CAMARINES SUR,,"1,551,549",,"1,822,371",,"1,952,544",,"2,068,244",,1.62,1.32,1.22,1.27,,,,,,,,
CATANDUANES,,"215,356",,"246,300",,"260,964",,"271,879",,1.35,1.11,0.87,0.99,,,,,,,,
MASBATE,,"707,668",,"834,650",,"892,393",,"908,920",,1.66,1.28,0.39,0.86,,,,,,,,
SORSOGON,,"650,535",,"740,743",,"792,949",,"828,655",,1.31,1.30,0.93,1.13,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
REGION VI (WESTERN VISAYAS),,"6,211,038",,"7,102,438",,"7,536,383",,"7,954,723",,1.35,1.13,1.14,1.14,,,,,,,,
AKLAN,,"451,314",,"535,725",,"574,823",,"615,475",,1.73,1.35,1.45,1.40,,,,,,,,
ANTIQUE,,"472,822",,"546,031",,"582,012",,"612,974",,1.45,1.22,1.10,1.16,,,,,,,,
CAPIZ,,"654,156",,"719,685",,"761,384",,"804,952",,0.96,1.08,1.18,1.13,,,,,,,,
GUIMARAS,,"141,450",,"162,943",,"174,613",,"187,842",,1.42,1.33,1.55,1.43,,,,,,,,
ILOILO *,,"1,559,182",,"1,805,576",,"1,936,423",,"2,051,899",,1.48,1.34,1.23,1.29,,,,,,,,
CITY OF ILOILO,,"366,391",,"424,619",,"447,992",,"457,626",,1.49,1.02,0.45,0.75,,,,,,,,
NEGROS OCCIDENTAL 1*,,"2,136,647",,"2,396,039",,"2,497,261",,"2,623,172",,1.15,0.79,1.04,0.91,,,,,,,,
CITY OF BACOLOD,,"429,076",,"511,820",,"561,875",,"600,783",,1.78,1.79,1.42,1.61,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
REGION VII (CENTRAL VISAYAS),,"5,706,953",,"6,800,180",,"7,396,898",,"8,081,988",,1.77,1.61,1.88,1.74,,,,,,,,
BOHOL,,"1,139,130",,"1,255,128",,"1,313,560",,"1,394,329",,0.97,0.87,1.26,1.06,,,,,,,,
CEBU *,,"2,160,569",,"2,619,362",,"2,938,982",,"3,325,385",,1.94,2.22,2.63,2.41,,,,,,,,
CITY OF CEBU,,"718,821",,"866,171",,"922,611",,"964,169",,1.88,1.21,0.93,1.08,,,,,,,,
CITY OF LAPU-LAPU (OPON),,"217,019",,"350,467",,"408,112",,"497,604",,4.91,2.94,4.26,3.56,,,,,,,,
CITY OF MANDAUE,,"259,728",,"331,320",,"362,654",,"364,116",,2.46,1.73,0.08,0.95,,,,,,,,
NEGROS ORIENTAL 1,,"1,130,088",,"1,286,666",,"1,354,995",,"1,432,990",,1.31,0.99,1.18,1.08,,,,,,,,
SIQUIJOR,,"81,598",,"91,066",,"95,984",,"103,395",,1.10,1.01,1.58,1.28,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),,"3,610,355",,"4,101,322",,"4,440,150",,"4,547,150",,1.28,1.52,0.50,1.04,,,,,,,,
BILIRAN,,"140,274",,"161,760",,"171,612",,"179,312",,1.43,1.13,0.93,1.03,,,,,,,,
EASTERN SAMAR,,"375,822",,"428,877",,"467,160",,"477,168",,1.33,1.64,0.45,1.07,,,,,,,,
LEYTE *,,"1,413,697",,"1,567,984",,"1,724,679",,"1,776,847",,1.04,1.83,0.63,1.26,,,,,,,,
CITY OF TACLOBAN,,"178,639",,"221,174",,"242,089",,"251,881",,2.16,1.73,0.84,1.31,,,,,,,,
NORTHERN SAMAR,,"500,639",,"589,013",,"632,379",,"639,186",,1.64,1.36,0.23,0.82,,,,,,,,
SAMAR (WESTERN SAMAR),,"641,124",,"733,377",,"780,481",,"793,183",,1.35,1.19,0.34,0.79,,,,,,,,
SOUTHERN LEYTE,,"360,160",,"399,137",,"421,750",,"429,573",,1.03,1.05,0.39,0.74,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
REGION IX (ZAMBOANGA PENINSULA),,"2,831,412",,"3,407,353",,"3,629,783",,"3,875,576",,1.87,1.21,1.39,1.29,,,,,,,,
ZAMBOANGA DEL NORTE,,"823,130",,"957,997",,"1,011,393",,"1,047,455",,1.53,1.04,0.74,0.90,,,,,,,,
ZAMBOANGA DEL SUR *,,"836,217",,"959,685",,"1,010,674",,"1,050,668",,1.39,0.99,0.82,0.91,,,,,,,,
CITY OF ZAMBOANGA,,"601,794",,"807,129",,"861,799",,"977,234",,2.98,1.26,2.68,1.93,,,,,,,,
ZAMBOANGA SIBUGAY,,"497,239",,"584,685",,"633,129",,"669,840",,1.63,1.53,1.19,1.37,,,,,,,,
CITY OF ISABELA,,"73,032",,"97,857",,"112,788",,"130,379",,2.97,2.74,3.10,2.91,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
REGION X (NORTHERN MINDANAO),,"3,505,708",,"4,297,323",,"4,689,302",,"5,022,768",,2.06,1.68,1.46,1.57,,,,,,,,
BUKIDNON,,"1,060,415",,"1,299,192",,"1,415,226",,"1,541,308",,2.05,1.64,1.81,1.72,,,,,,,,
CAMIGUIN,,"74,232",,"83,807",,"88,478",,"92,808",,1.22,1.04,1.01,1.02,,,,,,,,
LANAO DEL NORTE *,,"473,062",,"607,917",,"676,395",,"722,902",,2.54,2.05,1.41,1.75,,,,,,,,
CITY OF ILIGAN,,"285,061",,"322,821",,"342,618",,"363,115",,1.25,1.14,1.23,1.18,,,,,,,,
MISAMIS OCCIDENTAL,,"486,723",,"567,642",,"602,126",,"617,333",,1.55,1.13,0.53,0.84,,,,,,,,
MISAMIS ORIENTAL *,,"664,338",,"813,856",,"888,509",,"956,900",,2.05,1.68,1.57,1.63,,,,,,,,
CITY OF CAGAYAN DE ORO,,"461,877",,"602,088",,"675,950",,"728,402",,2.69,2.23,1.58,1.92,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
REGION XI (DAVAO REGION),,"3,676,163",,"4,468,563",,"4,893,318",,"5,243,536",,1.97,1.74,1.46,1.61,,,,,,,,
DAVAO DE ORO (COMPOSTELA VALLEY) 2,,"580,244",,"687,195",,"736,107",,"767,547",,1.71,1.32,0.88,1.11,,,,,,,,
DAVAO DEL NORTE,,"743,811",,"945,764",,"1,016,332",,"1,125,057",,2.43,1.38,2.16,1.75,,,,,,,,
DAVAO DEL SUR *,,"504,289",,"574,910",,"632,588",,"680,481",,1.32,1.84,1.55,1.70,,,,,,,,
CITY OF DAVAO,,"1,147,116",,"1,449,296",,"1,632,991",,"1,776,949",,2.36,2.30,1.79,2.06,,,,,,,,
DAVAO OCCIDENTAL,,"254,512",,"293,780",,"316,342",,"317,159",,1.44,1.42,0.05,0.77,,,,,,,,
DAVAO ORIENTAL,,"446,191",,"517,618",,"558,958",,"576,343",,1.50,1.47,0.65,1.08,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
REGION XII (SOCCSKSARGEN),,"3,222,169",,"4,109,571",,"4,545,276",,"4,901,486",,2.46,1.94,1.60,1.78,,,,,,,,
COTABATO (NORTH COTABATO),,"958,643",,"1,226,508",,"1,379,747",,"1,490,618",,2.49,2.27,1.64,1.97,,,,,,,,
SARANGANI,,"410,622",,"498,904",,"544,261",,"558,946",,1.97,1.67,0.56,1.14,,,,,,,,
SOUTH COTABATO *,,"690,728",,"827,200",,"915,289",,"975,476",,1.82,1.94,1.35,1.66,,,,,,,,
CITY OF GENERAL SANTOS (DADIANGAS),,"411,822",,"538,086",,"594,446",,"697,315",,2.71,1.91,3.41,2.62,,,,,,,,
SULTAN KUDARAT,,"586,505",,"747,087",,"812,095",,"854,052",,2.45,1.60,1.07,1.35,,,,,,,,
CITY OF COTABATO,,"163,849",,"271,786",,"299,438",,"325,079",,5.19,1.86,1.74,1.81,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
REGION XIII (Caraga),,"2,095,367",,"2,429,224",,"2,596,709",,"2,804,788",,1.49,1.28,1.63,1.45,,,,,,,,
AGUSAN DEL NORTE *,,"285,570",,"332,487",,"354,503",,"387,503",,1.53,1.23,1.89,1.54,,,,,,,,
CITY OF BUTUAN,,"267,279",,"309,709",,"337,063",,"372,910",,1.48,1.62,2.15,1.87,,,,,,,,
AGUSAN DEL SUR,,"559,294",,"656,418",,"700,653",,"739,367",,1.61,1.25,1.14,1.20,,,,,,,,
DINAGAT ISLANDS,,"106,951",,"126,803",,"127,152",,"128,117",,1.72,0.05,0.16,0.10,,,,,,,,
SURIGAO DEL NORTE,,"374,465",,"442,588",,"485,088",,"534,636",,1.68,1.76,2.07,1.91,,,,,,,,
SURIGAO DEL SUR,,"501,808",,"561,219",,"592,250",,"642,255",,1.12,1.03,1.72,1.36,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
BANGSAMORO AUTONOMOUS REGION,,"2,803,045",,"3,256,140",,"3,781,387",,"4,404,288",,1.51,2.89,3.26,3.06,,,,,,,,
IN MUSLIM MINDANAO (BARMM) 3,,,,,,,,,,,,,,,,,,,,,
BASILAN (excluding CITY OF ISABELA),,"259,796",,"293,322",,"346,579",,"426,207",,1.22,3.23,4.45,3.80,,,,,,,,
LANAO DEL SUR,,"800,162",,"933,260",,"1,045,429",,"1,195,518",,1.55,2.18,2.86,2.51,,,,,,,,
MAGUINDANAO (excluding CITY OF COTABATO),,"801,102",,"944,718",,"1,173,933",,"1,342,179",,1.66,4.22,2.86,3.57,,,,,,,,
SULU,,"619,668",,"718,290",,"824,731",,"1,000,108",,1.49,2.66,4.14,3.36,,,,,,,,
TAWI-TAWI,,"322,317",,"366,550",,"390,715",,"440,276",,1.29,1.22,2.54,1.85,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,
