" Population by Age Group, by Sex and by Region: 2015",,,,,,,,,
,,,,,,,,,
Region/Age Group,Both Sexes,Male,Female,,Region/Age Group,Both Sexes,Male,Female,
45-49,"249,553","129,313","120,240",,45-49,"228,152","118,368","109,784",
50-54,"210,031","107,481","102,550",,50-54,"178,895","92,083","86,812",
55-59,"174,844","88,389","86,455",,55-59,"137,943","70,170","67,773",
60-64,"132,471","65,913","66,558",,60-64,"102,267","50,699","51,568",
65-69,"88,258","42,953","45,305",,65-69,"69,520","33,265","36,255",
70-74,"54,291","25,338","28,953",,70-74,"44,900","20,351","24,549",
75-79,"37,507","16,637","20,870",,75-79,"29,658","12,777","16,881",
80 years and over,"32,003","12,955","19,048",,80 years and over,"26,082","10,074","16,008",
 0-17,"1,875,131","964,895","910,236",, 0-17,"1,846,669","948,154","898,515",
18 years old and over,"3,018,187","1,549,349","1,468,838",,18 years old and over,"2,698,607","1,374,990","1,323,617",
,,,,,,,,,
XIII - Caraga,"2,596,709","1,336,340","1,260,369",,ARMM,"3,781,387","1,884,980","1,896,407",
,,,,,,,,,
Under 1,"58,211","30,115","28,096",,Under 1,"86,505","44,045","42,460",
01-Apr,"250,840","130,094","120,746",,01-Apr,"450,628","227,833","222,795",
05-Sep,"303,451","157,273","146,178",,05-Sep,"554,328","279,282","275,046",
Oct-14,"289,914","149,643","140,271",,Oct-14,"499,563","251,493","248,070",
15-19,"264,849","137,846","127,003",,15-19,"421,440","209,095","212,345",
20-24,"232,683","120,596","112,087",,20-24,"326,083","156,993","169,090",
25-29,"203,151","106,710","96,441",,25-29,"288,777","137,222","151,555",
30-34,"167,959","88,871","79,088",,30-34,"248,383","118,942","129,441",
35-39,"151,924","79,714","72,210",,35-39,"245,007","118,718","126,289",
40-44,"138,453","71,649","66,804",,40-44,"202,072","100,762","101,310",
45-49,"129,783","66,759","63,024",,45-49,"163,536","83,881","79,655",
50-54,"113,114","57,813","55,301",,50-54,"109,924","58,844","51,080",
55-59,"93,732","47,359","46,373",,55-59,"72,993","39,040","33,953",
60-64,"69,872","34,602","35,270",,60-64,"46,744","25,237","21,507",
65-69,"49,770","23,596","26,174",,65-69,"29,876","15,542","14,334",
70-74,"34,587","15,584","19,003",,70-74,"17,560","9,206","8,354",
75-79,"24,168","10,429","13,739",,75-79,"9,488","4,788","4,700",
80 years and over,"20,248","7,687","12,561",,80 years and over,"8,480","4,057","4,423",
 0-17,1068131,553344,514787,, 0-17,"1,864,513","938,777","925,736",
18 years old and over,"1,528,578","782,996","745,582",,18 years old and over,"1,916,874","946,203","970,671",
,,,,,,,,,
,,,,,,,,,
"a The 2015 total population excludes Filipinos in Philippine Embassies, Consulates and Mission Abroad numbering 2,134.",,,,,,,,,
,,,,,,,,,
Source: Philippine Statistics Authority,,,,,,,,,
